Abiyuch, raw|69.0|1.5|0.1|17.6|20.0|304
Rowal, raw|111|2.3|2.0|23.9|4.0|131
Guava nectar, canned, with added ascorbic acid|63.0|0.09|0.06|16.2|6.0|39.0
Mango nectar, canned|51.0|0.11|0.06|13.1|5.0|24.0
Tamarind nectar, canned|57.0|0.09|0.12|14.7|7.0|27.0
Pomegranate juice, bottled|54.0|0.15|0.29|13.1|9.0|214
Nance, canned, syrup, drained|95.0|0.56|1.28|22.8|8.0|194
Nance, frozen, unsweetened|73.0|0.66|1.16|17.0|3.0|244
Naranjilla (lulo) pulp, frozen, unsweetened|25.0|0.44|0.22|5.9|4.0|200
Horned melon (Kiwano)|44.0|1.78|1.26|7.56|2.0|123
Orange Pineapple Juice Blend|51.0|0.41|0.08|12.2|4.0|150
Apples, raw, fuji, with skin (Includes foods for USDA's Food Distribution Program)|63.0|0.2|0.18|15.2|1.0|109
Orange juice, chilled, includes from concentrate, with added calcium and vitamins A, D, E|49.0|0.68|0.12|11.5|2.0|178
Fruit juice smoothie, NAKED JUICE, MIGHTY MANGO|63.0|0.42|0.0|15.0|4.0|142
Fruit juice smoothie, NAKED JUICE, GREEN MACHINE|53.0|0.6|0.26|12.5|6.0|165
Fruit juice smoothie, BOLTHOUSE FARMS, BERRY BOOST|46.0|0.63|0.02|10.9|4.0|116
Fruit juice smoothie, BOLTHOUSE FARMS, GREEN GOODNESS|56.0|0.63|0.33|13.0|11.0|177
Fruit juice smoothie, BOLTHOUSE FARMS, strawberry banana|52.0|0.44|0.3|12.4|5.0|184
Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium|48.0|0.12|0.17|11.5|5.0|184
Lemon juice from concentrate, bottled, CONCORD|24.0|0.4|0.07|5.37|29.0|112
Lemon juice from concentrate, bottled, REAL LEMON|17.0|0.47|0.07|5.66|26.0|109
Cranberry sauce, whole, canned, OCEAN SPRAY|158|0.75|0.05|40.4|5.0|21.0
Cranberry sauce, jellied, canned, OCEAN SPRAY|160|1.05|0.04|40.6|5.0|34.0
Ruby Red grapefruit juice blend (grapefruit, grape, apple), OCEAN SPRAY, bottled, with added vitamin C|44.0|0.5|0.1|10.5|8.0|94.0
Baobab powder|250|3.69|0.47|79.6|10.0|2190.0
Cherry juice, tart|59.0|0.31|0.54|13.7|4.0|161
Raspberries, puree, seedless|41.0|1.02|0.87|7.99|4.0|169
Raspberries, puree, with seeds|55.0|1.1|0.97|11.5|4.0|195
Pork, fresh, composite of trimmed leg, loin, shoulder, and spareribs, (includes cuts to be cured), separable lean and fat, raw|211|18.2|14.8|0.0|57.0|319
Pork, fresh, backfat, raw|812|2.92|88.7|0.0|11.0|65.0
Pork, fresh, belly, raw|518|9.34|53.0|0.0|32.0|185
Pork, fresh, separable fat, raw|632|9.25|65.7|0.0|47.0|333
Pork, fresh, leg (ham), rump half, separable lean and fat, raw|182|20.3|10.6|0.0|73.0|356
Pork, fresh, leg (ham), rump half, separable lean and fat, cooked, roasted|209|27.0|10.3|0.0|77.0|416
Pork, fresh, leg (ham), rump half, separable lean only, raw (Includes foods for USDA's Food Distribution Program)|120|21.8|2.93|0.0|76.0|359
Pork, fresh, leg (ham), rump half, separable lean only, cooked, roasted|165|28.9|4.62|0.0|80.0|425
Pork, fresh, loin, whole, separable lean and fat, raw|198|19.7|12.6|0.0|50.0|356
Pork, fresh, loin, whole, separable lean and fat, cooked, braised|239|27.2|13.6|0.0|48.0|374
Pork, fresh, loin, whole, separable lean and fat, cooked, broiled|242|27.3|13.9|0.0|62.0|423
Pork, fresh, loin, whole, separable lean and fat, cooked, roasted|248|27.1|14.6|0.0|59.0|408
Pork, fresh, loin, blade (chops or roasts), bone-in, separable lean and fat, raw|194|19.6|12.3|0.0|69.0|288
Pork, fresh, loin, blade (chops), bone-in, separable lean and fat, cooked, braised|255|26.5|15.7|0.0|69.0|259
Pork, fresh, loin, blade (chops), bone-in, separable lean and fat, cooked, broiled|231|23.7|14.4|0.0|74.0|315
Pork, fresh, loin, blade (roasts), bone-in, separable lean and fat, cooked, roasted|254|24.3|16.7|0.0|76.0|318
Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, cooked, braised|242|28.2|13.5|0.0|73.0|273
Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, cooked, broiled|209|25.6|11.1|0.0|55.0|344
Pork, fresh, loin, center loin (roasts), bone-in, separable lean and fat, cooked, roasted|231|27.0|12.8|0.0|83.0|350
Pork, fresh, loin, center loin (chops), bone-in, separable lean only, raw|127|22.0|3.71|0.0|58.0|362
Pork, fresh, loin, center rib (chops), bone-in, separable lean and fat, cooked, braised|261|26.7|16.3|0.0|70.0|259
Pork, fresh, loin, center rib (chops), bone-in, separable lean and fat, cooked, broiled|222|24.4|13.0|0.0|55.0|329
Pork, fresh, loin, center rib (roasts), bone-in, separable lean and fat, cooked, roasted|248|27.0|14.7|0.0|91.0|272
Pork, fresh, loin, center rib (chops or roasts), bone-in, separable lean only, raw|136|21.8|4.8|0.0|60.0|359
